participant,xid,group-id,n-comments,n-votes,n-agree,n-disagree,1,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1,,1,0,12,4,8,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,1,30,20,8,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,,,,,
3,,1,1,23,16,7,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
4,,1,1,30,16,10,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,1,1,1,0,1,1,1,1,-1,-1,-1,1,1,0,0,1,0,,,,,,
5,,1,1,30,17,7,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,,,,,,
6,,1,0,12,5,7,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,
7,,1,1,23,14,7,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,0,1,1,1,1,1,0,1,,,,,,,,,,,,,
8,,1,1,30,19,9,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,0,0,1,1,,,,,,
9,,1,0,30,16,9,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,0,1,1,0,1,1,1,1,1,-1,-1,1,1,0,0,0,1,1,,,,,,
10,,0,0,23,7,12,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,0,0,-1,0,-1,0,,,,,,,,,,,,,
11,,1,4,36,29,6,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
12,,1,0,26,15,8,-1,1,1,-1,-1,-1,0,0,-1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,0,1,1,,,,-1,,,,,,,
14,,2,2,31,22,9,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,,1,,,,
15,,0,0,30,16,14,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,,,,,,
16,,0,1,36,23,13,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,1,1,1,1,-1,1,-1,1,1,1
17,,1,1,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
18,,1,0,21,12,7,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,1,0,1,0,1,1,1,1,,,,,,,,,,,,,,,
19,,2,1,36,24,8,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,1,1,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
20,,2,0,23,13,10,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,,,,,,,,,,,,,
21,,1,2,26,19,7,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,
22,,1,0,23,13,10,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,,,,,,,,,,,,,
23,,1,5,36,28,5,1,-1,-1,1,1,-1,-1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
25,,1,1,32,24,8,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,,1,,1,,
26,,1,0,15,9,3,,,1,-1,0,,-1,,,1,-1,,1,,,1,,1,,,1,0,,1,,,0,1,,1,,,,,,
24,,,0,2,1,0,,,,,,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
13,,,1,1,1,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
